date,time,load_act
20240621,2100,2797
20240621,2200,2678
20240621,2300,2547
20240622,0,2359
20240622,100,2239
20240622,200,2202
20240622,300,2228
20240622,400,2216
20240622,500,2188
20240622,600,2183
20240622,700,2337
20240622,800,2637
20240622,900,2885
20240622,1000,2952
20240622,1100,2992
20240622,1200,3053
20240622,1300,3194
20240622,1400,3139
20240622,1500,3067
20240622,1600,3029
20240622,1700,3023
20240622,1800,3039
20240622,1900,3034
20240622,2000,2927
20240622,2100,2775
20240622,2200,2648
20240622,2300,2525
20240623,0,2343
20240623,100,2216
20240623,200,2164
20240623,300,2188
20240623,400,2205
20240623,500,2204
20240623,600,2216
20240623,700,2324
20240623,800,2440
20240623,900,2589
20240623,1000,2655
20240623,1100,2768
20240623,1200,2839
20240623,1300,2836
20240623,1400,2853
20240623,1500,2834
20240623,1600,2872
20240623,1700,2943
20240623,1800,3007
20240623,1900,2993
20240623,2000,2899
20240623,2100,2765
20240623,2200,2623
20240623,2300,2504
20240624,0,2327
20240624,100,2210
20240624,200,2183
20240624,300,2219
20240624,400,2250
20240624,500,2299
20240624,600,2461
20240624,700,2782
20240624,800,3304
20240624,900,3868
20240624,1000,4164
20240624,1100,4384
20240624,1200,4421
20240624,1300,4598
20240624,1400,4606
20240624,1500,4440
20240624,1600,4270
20240624,1700,4104
20240624,1800,4020
20240624,1900,3912
20240624,2000,3703
20240624,2100,3466
20240624,2200,3268
20240624,2300,3049
20240625,0,2778
20240625,100,2602
20240625,200,2527
20240625,300,2517
20240625,400,2532
20240625,500,2575
20240625,600,2788
20240625,700,3136
20240625,800,3637
20240625,900,4098
20240625,1000,4146
20240625,1100,4247
20240625,1200,4270
20240625,1300,4400
20240625,1400,4383
20240625,1500,4346
20240625,1600,4306
20240625,1700,4148
20240625,1800,4058
20240625,1900,3978
20240625,2000,3782
20240625,2100,3555
20240625,2200,3360
20240625,2300,3139
20240626,0,2858
20240626,100,2674
20240626,200,2589
20240626,300,2570
20240626,400,2558
20240626,500,2613
20240626,600,2788
20240626,700,3135
20240626,800,3583
20240626,900,4177
20240626,1000,4251
20240626,1100,4443
20240626,1200,4355
20240626,1300,4426
20240626,1400,4430
20240626,1500,4308
20240626,1600,4184
20240626,1700,3921
20240626,1800,3803
20240626,1900,3706
20240626,2000,3521
20240626,2100,3308
20240626,2200,3121
20240626,2300,2917
20240627,0,2679
20240627,100,2514
20240627,200,2447
20240627,300,2454
20240627,400,2452
20240627,500,2465
20240627,600,2617
20240627,700,2937
20240627,800,3485
20240627,900,3837
20240627,1000,3960
20240627,1100,4051
20240627,1200,4047
20240627,1300,4161
20240627,1400,4149
20240627,1500,3999
20240627,1600,3874
20240627,1700,3698
20240627,1800,3624
20240627,1900,3545
20240627,2000,3381
20240627,2100,3189
20240627,2200,3031
20240627,2300,2863
20240628,0,2648
20240628,100,2484
20240628,200,2432
20240628,300,2433
20240628,400,2449
20240628,500,2478
20240628,600,2622
20240628,700,2911
20240628,800,3270
20240628,900,3554
20240628,1000,3620
20240628,1100,3654
20240628,1200,3488
20240628,1300,3532
20240628,1400,3544
20240628,1500,3535
20240628,1600,3511
20240628,1700,3425
20240628,1800,3374
20240628,1900,3308
20240628,2000,3165
20240628,2100,2991
20240628,2200,2869
20240628,2300,2714
20240629,0,2507
20240629,100,2375
20240629,200,2315
20240629,300,2327
20240629,400,2323
20240629,500,2300
20240629,600,2318
20240629,700,2434
20240629,800,2611
20240629,900,2870
20240629,1000,2975
20240629,1100,3207
20240629,1200,3277
20240629,1300,3323
20240629,1400,3308
20240629,1500,3281
20240629,1600,3266
20240629,1700,3243
20240629,1800,3208
20240629,1900,3183
20240629,2000,3060
20240629,2100,2889
20240629,2200,2745
20240629,2300,2613
20240630,0,2447
20240630,100,2298
20240630,200,2247
20240630,300,2260
20240630,400,2257
20240630,500,2231
20240630,600,2230
20240630,700,2364
20240630,800,2602
20240630,900,2827
20240630,1000,2973
20240630,1100,3081
20240630,1200,3178
20240630,1300,3204
20240630,1400,3108
20240630,1500,3082
20240630,1600,3158
20240630,1700,3220
20240630,1800,3281
20240630,1900,3284
20240630,2000,3185
20240630,2100,3047
20240630,2200,2889
20240630,2300,2743
20240701,0,2571
20240701,100,2440
20240701,200,2384
20240701,300,2406
20240701,400,2441
20240701,500,2515
20240701,600,2721
20240701,700,3042
20240701,800,3513
20240701,900,3846
20240701,1000,3954
20240701,1100,3880
20240701,1200,3854
20240701,1300,4037
20240701,1400,4062
20240701,1500,3965
20240701,1600,3973
20240701,1700,3886
20240701,1800,3824
20240701,1900,3733
20240701,2000,3561
20240701,2100,3362
20240701,2200,3207
20240701,2300,3012
20240702,0,2758
20240702,100,2586
20240702,200,2511
20240702,300,2503
20240702,400,2499
20240702,500,2537
20240702,600,2736
20240702,700,3144
20240702,800,3716
20240702,900,4177
20240702,1000,4378
20240702,1100,4543
20240702,1200,4350
20240702,1300,4310
20240702,1400,4390
20240702,1500,4292
20240702,1600,4217
20240702,1700,4072
20240702,1800,4000
20240702,1900,3903
